C,gamma,kernel,score,total_time
0.1,1,linear,0.372,51.7
0.1,1,linear,0.366,49.5
0.1,1,linear,0.382,56.1
0.1,1,linear,0.363,54.9
0.1,1,linear,0.369,52.4
0.1,0.1,linear,0.372,57.4
0.1,0.1,linear,0.366,50.9
0.1,0.1,linear,0.382,66
0.1,0.1,linear,0.363,56.7
0.1,0.1,linear,0.369,53.6
0.1,0.01,linear,0.372,66
0.1,0.01,linear,0.366,51.1
0.1,0.01,linear,0.382,52.1
0.1,0.01,linear,0.363,51.3
0.1,0.01,linear,0.369,51.9
0.1,0.001,linear,0.372,54.5
0.1,0.001,linear,0.366,51.9
0.1,0.001,linear,0.382,52.1
0.1,0.001,linear,0.363,51.5
0.1,0.001,linear,0.369,51.9
0.1,0.0001,linear,0.372,54.7
0.1,0.0001,linear,0.366,55.1
0.1,0.0001,linear,0.382,52.9
0.1,0.0001,linear,0.363,51.4
0.1,0.0001,linear,0.369,53.1
1,1,linear,0.374,46.5
1,1,linear,0.367,45.8
1,1,linear,0.388,46.3
1,1,linear,0.376,45.8
1,1,linear,0.372,46.8
1,0.1,linear,0.374,46.7
1,0.1,linear,0.367,45.9
1,0.1,linear,0.388,47
1,0.1,linear,0.376,46.4
1,0.1,linear,0.372,46.7
1,0.01,linear,0.374,45.9
1,0.01,linear,0.367,45.7
1,0.01,linear,0.388,46.8
1,0.01,linear,0.376,46.5
1,0.01,linear,0.372,45.7
1,0.001,linear,0.374,47.1
1,0.001,linear,0.367,46.1
1,0.001,linear,0.388,47.6
1,0.001,linear,0.376,45.6
1,0.001,linear,0.372,46.4
1,0.0001,linear,0.374,46.6
1,0.0001,linear,0.367,46.8
1,0.0001,linear,0.388,46.9
1,0.0001,linear,0.376,45.5
1,0.0001,linear,0.372,46.4
10,1,linear,0.374,59.7
10,1,linear,0.366,58.1
10,1,linear,0.386,59.9
10,1,linear,0.376,58.9
10,1,linear,0.373,60
10,0.1,linear,0.374,59.8
10,0.1,linear,0.366,60
10,0.1,linear,0.386,59.3
10,0.1,linear,0.376,60
10,0.1,linear,0.373,59.7
10,0.01,linear,0.374,59.9
10,0.01,linear,0.366,59.5
10,0.01,linear,0.386,60
10,0.01,linear,0.376,59.8
10,0.01,linear,0.373,60
10,0.001,linear,0.374,59.3
10,0.001,linear,0.366,60
10,0.001,linear,0.386,59.5
10,0.001,linear,0.376,60
10,0.001,linear,0.373,59.9
10,0.0001,linear,0.374,60
10,0.0001,linear,0.366,60
10,0.0001,linear,0.386,60
10,0.0001,linear,0.376,59
10,0.0001,linear,0.373,59.9
100,1,linear,0.373,138
100,1,linear,0.367,138
100,1,linear,0.387,138
100,1,linear,0.377,150
100,1,linear,0.372,174
100,0.1,linear,0.373,174
100,0.1,linear,0.367,168
100,0.1,linear,0.387,168
100,0.1,linear,0.377,168
100,0.1,linear,0.372,150
100,0.01,linear,0.373,138
100,0.01,linear,0.367,138
100,0.01,linear,0.387,138
100,0.01,linear,0.377,138
100,0.01,linear,0.372,138
100,0.001,linear,0.373,138
100,0.001,linear,0.367,138
100,0.001,linear,0.387,138
100,0.001,linear,0.377,138
100,0.001,linear,0.372,138
100,0.0001,linear,0.373,138
100,0.0001,linear,0.367,138
100,0.0001,linear,0.387,138
100,0.0001,linear,0.377,138
100,0.0001,linear,0.372,138
1000,1,linear,0.373,2868
1000,1,linear,0.368,3672
1000,1,linear,0.386,3420
1000,1,linear,0.377,8598
1000,1,linear,0.371,3276
1000,0.1,linear,0.374,3192
1000,0.1,linear,0.368,3756
1000,0.1,linear,0.386,3390
1000,0.1,linear,0.377,2490
1000,0.1,linear,0.371,3162
1000,0.01,linear,0.374,3510
1000,0.01,linear,0.368,3744
1000,0.01,linear,0.386,2832
1000,0.01,linear,0.377,2490
1000,0.01,linear,0.371,2910
1000,0.001,linear,0.374,3882
1000,0.001,linear,0.368,3924
1000,0.001,linear,0.386,2652
1000,0.001,linear,0.377,2610
1000,0.001,linear,0.371,3024
1000,0.0001,linear,0.374,2970
,,,,
,,Average=,0.374190083,
