C,gamma,kernel,score,total_time
0.1,1,rbf,0.368,78
0.1,1,rbf,0.365,78
0.1,1,rbf,0.376,78
0.1,1,rbf,0.361,78
0.1,1,rbf,0.366,78
0.1,0.1,rbf,0.347,78
0.1,0.1,rbf,0.352,78
0.1,0.1,rbf,0.35,84
0.1,0.1,rbf,0.349,84
0.1,0.1,rbf,0.34,84
0.1,0.01,rbf,0.24,78
0.1,0.01,rbf,0.24,78
0.1,0.01,rbf,0.24,84
0.1,0.01,rbf,0.24,84
0.1,0.01,rbf,0.24,78
0.1,0.001,rbf,0.24,78
0.1,0.001,rbf,0.24,78
0.1,0.001,rbf,0.24,78
0.1,0.001,rbf,0.24,78
0.1,0.001,rbf,0.24,78
0.1,0.0001,rbf,0.24,78
0.1,0.0001,rbf,0.24,78
0.1,0.0001,rbf,0.24,78
0.1,0.0001,rbf,0.24,78
0.1,0.0001,rbf,0.24,90
1,1,rbf,0.396,84
1,1,rbf,0.384,132
1,1,rbf,0.402,138
1,1,rbf,0.386,126
1,1,rbf,0.384,126
1,0.1,rbf,0.373,120
1,0.1,rbf,0.367,108
1,0.1,rbf,0.385,114
1,0.1,rbf,0.367,108
1,0.1,rbf,0.371,114
1,0.01,rbf,0.352,132
1,0.01,rbf,0.354,126
1,0.01,rbf,0.356,132
1,0.01,rbf,0.349,126
1,0.01,rbf,0.349,78
1,0.001,rbf,0.24,78
1,0.001,rbf,0.24,78
1,0.001,rbf,0.24,78
1,0.001,rbf,0.24,78
1,0.001,rbf,0.24,78
1,0.0001,rbf,0.24,78
1,0.0001,rbf,0.24,78
1,0.0001,rbf,0.24,78
1,0.0001,rbf,0.24,78
1,0.0001,rbf,0.24,78
10,1,rbf,0.386,90
10,1,rbf,0.395,90
10,1,rbf,0.395,90
10,1,rbf,0.396,90
10,1,rbf,0.383,90
10,0.1,rbf,0.378,60
10,0.1,rbf,0.373,60
10,0.1,rbf,0.391,60
10,0.1,rbf,0.379,60
10,0.1,rbf,0.375,60
10,0.01,rbf,0.371,66
10,0.01,rbf,0.369,66
10,0.01,rbf,0.384,66
10,0.01,rbf,0.368,66
10,0.01,rbf,0.372,66
10,0.001,rbf,0.351,78
10,0.001,rbf,0.354,78
10,0.001,rbf,0.356,78
10,0.001,rbf,0.348,78
10,0.001,rbf,0.351,84
10,0.0001,rbf,0.24,102
10,0.0001,rbf,0.24,102
10,0.0001,rbf,0.24,102
10,0.0001,rbf,0.24,102
10,0.0001,rbf,0.24,96
100,1,rbf,0.387,108
100,1,rbf,0.395,96
100,1,rbf,0.395,126
100,1,rbf,0.395,138
100,1,rbf,0.383,120
100,0.1,rbf,0.383,144
100,0.1,rbf,0.384,132
100,0.1,rbf,0.386,114
100,0.1,rbf,0.385,108
100,0.1,rbf,0.38,114
100,0.01,rbf,0.374,66
100,0.01,rbf,0.368,66
100,0.01,rbf,0.389,66
100,0.01,rbf,0.377,66
100,0.01,rbf,0.373,66
100,0.001,rbf,0.37,72
100,0.001,rbf,0.369,72
100,0.001,rbf,0.383,66
100,0.001,rbf,0.368,72
100,0.001,rbf,0.372,66
100,0.0001,rbf,0.352,78
100,0.0001,rbf,0.354,78
100,0.0001,rbf,0.356,84
100,0.0001,rbf,0.349,78
100,0.0001,rbf,0.351,84
1000,1,rbf,0.387,96
1000,1,rbf,0.395,90
1000,1,rbf,0.395,90
1000,1,rbf,0.395,96
1000,1,rbf,0.383,96
1000,0.1,rbf,0.358,192
1000,0.1,rbf,0.365,246
1000,0.1,rbf,0.362,276
1000,0.1,rbf,0.359,270
1000,0.1,rbf,0.356,258
1000,0.01,rbf,0.375,144
1000,0.01,rbf,0.369,144
1000,0.01,rbf,0.386,144
1000,0.01,rbf,0.379,144
1000,0.01,rbf,0.374,144
1000,0.001,rbf,0.372,114
1000,0.001,rbf,0.367,108
1000,0.001,rbf,0.388,114
1000,0.001,rbf,0.376,114
1000,0.001,rbf,0.372,108
1000,0.0001,rbf,0.37,114
1000,0.0001,rbf,0.369,72
1000,0.0001,rbf,0.383,66
1000,0.0001,rbf,0.369,72
1000,0.0001,rbf,0.372,66
